campaign_name,ad_group,keyword,match_type,final_url
GoFieldwise Industry Intent,Plumbing,plumbing scheduling software,Phrase,https://gofieldwise.com/plumbing
GoFieldwise Industry Intent,Plumbing,plumbing dispatch software,Phrase,https://gofieldwise.com/plumbing
GoFieldwise Industry Intent,Plumbing,plumber job management software,Phrase,https://gofieldwise.com/plumbing
GoFieldwise Industry Intent,HVAC,hvac dispatch software,Phrase,https://gofieldwise.com/hvac
GoFieldwise Industry Intent,HVAC,hvac scheduling software,Phrase,https://gofieldwise.com/hvac
GoFieldwise Industry Intent,HVAC,hvac service management software,Phrase,https://gofieldwise.com/hvac
GoFieldwise Industry Intent,Electrical,electrician scheduling software,Phrase,https://gofieldwise.com/electrical
GoFieldwise Industry Intent,Electrical,electrical contractor software,Phrase,https://gofieldwise.com/electrical
GoFieldwise Industry Intent,Electrical,electrical dispatch software,Phrase,https://gofieldwise.com/electrical
GoFieldwise Industry Intent,Landscaping,landscaping scheduling software,Phrase,https://gofieldwise.com/landscaping
GoFieldwise Industry Intent,Landscaping,landscaping service software,Phrase,https://gofieldwise.com/landscaping
GoFieldwise Industry Intent,Landscaping,lawn care dispatch software,Phrase,https://gofieldwise.com/landscaping
GoFieldwise Industry Intent,Cleaning,cleaning business scheduling software,Phrase,https://gofieldwise.com/cleaning-services
GoFieldwise Industry Intent,Cleaning,cleaning dispatch software,Phrase,https://gofieldwise.com/cleaning-services
GoFieldwise Industry Intent,Cleaning,cleaning service management software,Phrase,https://gofieldwise.com/cleaning-services
