industry,slug,base_url,utm_source,utm_medium,utm_campaign,utm_content,tagged_url
Plumbing,plumbing,https://gofieldwise.com/plumbing,google,cpc,industry-intent,plumbing-rsa-1,https://gofieldwise.com/plumbing?utm_source=google&utm_medium=cpc&utm_campaign=industry-intent&utm_content=plumbing-rsa-1
HVAC,hvac,https://gofieldwise.com/hvac,google,cpc,industry-intent,hvac-rsa-1,https://gofieldwise.com/hvac?utm_source=google&utm_medium=cpc&utm_campaign=industry-intent&utm_content=hvac-rsa-1
Electrical,electrical,https://gofieldwise.com/electrical,google,cpc,industry-intent,electrical-rsa-1,https://gofieldwise.com/electrical?utm_source=google&utm_medium=cpc&utm_campaign=industry-intent&utm_content=electrical-rsa-1
Landscaping,landscaping,https://gofieldwise.com/landscaping,google,cpc,industry-intent,landscaping-rsa-1,https://gofieldwise.com/landscaping?utm_source=google&utm_medium=cpc&utm_campaign=industry-intent&utm_content=landscaping-rsa-1
Cleaning,cleaning-services,https://gofieldwise.com/cleaning-services,google,cpc,industry-intent,cleaning-rsa-1,https://gofieldwise.com/cleaning-services?utm_source=google&utm_medium=cpc&utm_campaign=industry-intent&utm_content=cleaning-rsa-1
Plumbing,plumbing,https://gofieldwise.com/plumbing,facebook,paid-social,industry-awareness,plumbing-image-1,https://gofieldwise.com/plumbing?utm_source=facebook&utm_medium=paid-social&utm_campaign=industry-awareness&utm_content=plumbing-image-1
HVAC,hvac,https://gofieldwise.com/hvac,facebook,paid-social,industry-awareness,hvac-image-1,https://gofieldwise.com/hvac?utm_source=facebook&utm_medium=paid-social&utm_campaign=industry-awareness&utm_content=hvac-image-1
Electrical,electrical,https://gofieldwise.com/electrical,facebook,paid-social,industry-awareness,electrical-image-1,https://gofieldwise.com/electrical?utm_source=facebook&utm_medium=paid-social&utm_campaign=industry-awareness&utm_content=electrical-image-1
Landscaping,landscaping,https://gofieldwise.com/landscaping,facebook,paid-social,industry-awareness,landscaping-image-1,https://gofieldwise.com/landscaping?utm_source=facebook&utm_medium=paid-social&utm_campaign=industry-awareness&utm_content=landscaping-image-1
Cleaning,cleaning-services,https://gofieldwise.com/cleaning-services,facebook,paid-social,industry-awareness,cleaning-image-1,https://gofieldwise.com/cleaning-services?utm_source=facebook&utm_medium=paid-social&utm_campaign=industry-awareness&utm_content=cleaning-image-1
